,NC1,NC2,NC3,PUS71,PUS72,PUS73
KIF17,6.912172408143,6.89088467707008,6.87651113352837,7.11381171934675,7.05666900952794,7.01637714127399
HP1BP3,11.5857981984039,11.5677978525852,11.5860575538809,11.7522643964627,11.7527448543265,11.7635400949375
EIF4G3,11.6903524995159,11.6860524370072,11.6757915312934,11.598495331393,11.6259161269128,11.6435758620435
ECE1,9.50531137366451,9.55674579369784,9.54921056212595,9.70250616641782,9.67873424095577,9.6239988638831
NBPF3,7.30144243445619,7.39593435159184,7.33396299720119,7.60951260631425,7.55330156911324,7.59641688798529
USP48,10.6345687049691,10.5998055505752,10.5988873339526,10.5277738783484,10.5156197239006,10.5269563246225
HSPG2,9.32109892148372,9.40275144263018,9.45671684437053,9.82377090154615,9.81048682123291,9.79406760140987
LINC01635,4.31036613712338,4.26662461413862,4.30821437678215,4.32770100334697,4.29787727686608,4.30125871292843
LINC00339,8.00430943482273,7.99366805283306,7.95037357547468,7.9531935160656,7.93865209675488,7.87758405620481
CDC42,11.3874777265018,11.393595588331,11.4052078715862,11.263822605444,11.2845154166491,11.2664523917104
ZBTB40,10.1018961427785,10.1880586907017,10.1591972691786,10.2024869376361,10.2667983048383,10.2633442614563
KDM1A,11.0719499327859,11.0564124626016,11.016365793911,11.1772789400312,11.1898520579997,11.2008854543149
LUZP1,9.54305500370756,9.6130383269938,9.57082651689109,9.5912440815375,9.59951608152139,9.58033777270781
LINC01355,6.81456306010962,6.78272402786823,6.83618880797412,6.95049360721967,6.9332385383511,6.98973635015438
HNRNPR,12.1290303369176,12.1189027338685,12.1031180838293,12.0485428513654,12.049008272165,12.0471045069503
ZNF436,8.39576545687035,8.47429575885587,8.42094259812386,8.34310651132508,8.25179309280122,8.32710756661988
ASAP3,8.43336701545095,8.41436894697746,8.42448709083695,8.49140073428733,8.51644662064684,8.48253572828778
E2F2,7.37777305115032,7.39579942767086,7.44104423319557,7.87242970240326,7.77997980549485,7.75398208615157
ID3,10.9664553250054,10.8400620869002,11.0368942672884,10.5707593522242,10.4789933067904,10.494486460841
RPL11,12.3196005991458,12.3011860960795,12.3371839716124,12.6345276687157,12.598935168186,12.5872252816818
ELOA,10.7291481618297,10.772998999532,10.7919459543086,10.6551254959261,10.6672774012582,10.6455877270606
ELOA-AS1,4.24740752184066,4.22965949417301,4.21647495361168,4.21230899438845,4.20592949247127,4.21005308734691
PITHD1,9.17485227549254,9.17924604269011,9.11746811054973,8.95690613902181,8.95752807650323,8.9610096465071
LYPLA2,9.12293539176047,9.06375923029949,9.14216252931248,9.5705670267876,9.52774976643424,9.54815160061104
GALE,8.0528921220432,7.95907562812567,8.01899249519263,7.89525583276049,7.8122410266843,7.78817334037471
HMGCL,8.43659638412994,8.38545803157178,8.37220230708279,8.39531966458068,8.39081333995013,8.44050483120562
FUCA1,6.81755708045067,6.7514158339486,6.79160553446735,6.87713209998497,6.81542955494782,6.88824415839552
PNRC2,11.4369470642914,11.4440972980016,11.4256700545498,11.4152579786976,11.4301754200885,11.4250525241816
SRSF10,11.2647518955427,11.2565938056512,11.2223117656754,11.1918241512244,11.2182712283192,11.2151347567697
STPG1,7.44371212515003,7.39216303933111,7.32228973073309,7.60754945516258,7.60872372756465,7.50081937336004
NIPAL3,7.88939627996713,7.96885708176473,7.97646593582747,8.48810511912595,8.40340039631335,8.51863629417763
RCAN3,7.10836039036649,7.03785441879095,7.03582830337058,7.38124257589116,7.3129196236045,7.35403735362209
SRRM1,11.3498567049091,11.3934359726991,11.3455586415955,11.4776642326818,11.4939861550888,11.4670887436212
CLIC4,12.8385462051706,12.8421320370057,12.8267593748742,12.6358841837509,12.6430700218253,12.6574619050383
SYF2,9.89144887704837,9.85514901323318,9.80142310402936,9.85442507383311,9.77240651576459,9.78333585379785
RSRP1,9.44045264483691,9.41976889495815,9.40050134928618,9.6306021207819,9.61094642988263,9.62576819742324
TMEM50A,9.96901831623081,9.90378783734338,9.92135644553466,9.99498343676771,9.95563670279149,10.0050718910135
MACO1,8.80452022004229,8.80073456497134,8.75078744938614,8.626075938438,8.72228537640791,8.71175098382006
LDLRAP1,7.40679671752589,7.37376220193089,7.34411260744313,7.22099922678269,7.29387070415565,7.33045022905648
SELENON,11.1530829904261,11.1881379831677,11.2127045129614,11.0859599802043,11.0982931723114,11.0780194636279
MTFR1L,8.74572780959446,8.80813950439967,8.80992667257149,8.8715153219626,8.80411842932912,8.84502188952762
LOC646471,6.22707322664666,6.20809186409509,6.14117499722178,6.50145493901128,6.55178497410577,6.47956453755043
AUNIP,8.00517956884348,7.93836809574445,7.99338246205186,7.91332219488997,7.94432973206356,7.95422526724787
