Geneid	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000097970.1	0	0	0	0	0	0	0	0
ENSMUSG00000065567.1	0	0	0	0	0	0	0	0
ENSMUSG00000100775.1	0	0	0	0	0	0	0	0
ENSMUSG00000101226.1	0	0	0	0	0	0	0	0
ENSMUSG00000026158.11	83	174	345	108	433	59	124	154
ENSMUSG00000097920.1	0	0	0	0	0	0	0	0
ENSMUSG00000099503.1	0	0	0	0	0	0	0	0
ENSMUSG00000026156.8	0	0	0	0	0	0	0	0
ENSMUSG00000026155.13	31	106	80	9	127	86	108	93
ENSMUSG00000026154.4	276	771	553	84	638	59	223	274
ENSMUSG00000102495.1	0	0	0	0	0	0	0	0
ENSMUSG00000026153.15	0	0	110	1	0	5	0	1
ENSMUSG00000102398.1	0	0	0	0	0	0	0	0
ENSMUSG00000097670.1	0	0	0	0	0	0	0	0
ENSMUSG00000026147.16	0	0	0	0	0	0	0	0
ENSMUSG00000026141.13	0	0	0	0	0	0	0	0
ENSMUSG00000077463.1	0	0	0	0	0	0	0	0
ENSMUSG00000099997.1	36	14	36	40	50	21	59	76
ENSMUSG00000100131.1	10	18	25	5	50	5	10	17
ENSMUSG00000067736.2	34	45	52	28	51	16	34	55
ENSMUSG00000101939.1	1	1	7	0	15	2	2	2
ENSMUSG00000101111.1	119	229	212	125	264	91	186	240
ENSMUSG00000100862.1	27	69	88	35	116	27	36	105
ENSMUSG00000102070.1	96	274	197	143	216	94	146	277
ENSMUSG00000101249.1	256	655	404	206	413	104	320	430
ENSMUSG00000073725.8	69	283	420	182	0	87	224	106
ENSMUSG00000100808.1	0	0	0	0	0	0	0	0
ENSMUSG00000100483.1	0	0	0	0	0	0	0	0
ENSMUSG00000100450.1	0	0	0	0	0	0	0	0
ENSMUSG00000099392.1	0	0	0	0	0	0	0	0
ENSMUSG00000033569.17	0	0	0	0	0	0	0	0
ENSMUSG00000080849.1	0	0	0	0	0	0	0	0
ENSMUSG00000104257.1	0	0	0	0	0	0	0	0
ENSMUSG00000096866.1	0	0	0	0	0	0	0	0
ENSMUSG00000102296.1	0	0	0	0	0	0	0	0
ENSMUSG00000103209.1	0	0	0	0	0	0	0	0
ENSMUSG00000104027.1	0	0	0	0	0	0	0	0
ENSMUSG00000102407.1	0	0	0	0	0	0	0	0
ENSMUSG00000103214.1	0	0	0	0	0	0	0	0
ENSMUSG00000104100.1	0	0	0	0	0	0	0	0
ENSMUSG00000084740.1	0	0	0	0	0	0	0	0
ENSMUSG00000103889.1	0	0	0	0	0	0	0	0
ENSMUSG00000101301.1	0	0	0	0	0	0	0	0
ENSMUSG00000104221.1	0	0	0	0	0	0	0	0
ENSMUSG00000102250.1	0	0	0	0	0	0	0	0
ENSMUSG00000102317.1	0	0	0	0	0	0	0	2
ENSMUSG00000103563.1	0	0	0	0	0	0	0	0
ENSMUSG00000102465.1	0	0	0	0	0	0	0	0
ENSMUSG00000102659.1	0	0	0	0	0	0	0	0
ENSMUSG00000103924.1	0	0	0	0	0	0	0	0
ENSMUSG00000104132.1	0	0	0	0	0	0	0	0
ENSMUSG00000102747.1	0	0	0	0	0	0	0	0
ENSMUSG00000102386.1	0	0	0	0	0	0	0	0
ENSMUSG00000103004.1	0	0	0	0	0	0	0	0
ENSMUSG00000104516.1	0	0	0	0	0	0	0	0
ENSMUSG00000101618.1	0	0	0	0	0	0	0	0
ENSMUSG00000099458.1	0	0	0	0	0	0	0	0
ENSMUSG00000088111.1	0	0	0	0	0	0	0	0
ENSMUSG00000073722.3	0	0	0	0	0	0	0	0
ENSMUSG00000095256.1	0	0	0	0	0	0	0	0
ENSMUSG00000100310.1	0	0	0	0	0	0	0	0
ENSMUSG00000101514.1	0	0	0	0	0	0	0	0
ENSMUSG00000101033.1	0	0	0	0	0	0	0	0
ENSMUSG00000101372.1	0	0	0	0	0	0	0	0
ENSMUSG00000103241.1	0	0	0	0	0	0	0	0
ENSMUSG00000086240.4	1	1	2	1	23	2	0	3
ENSMUSG00000048411.4	0	0	0	0	0	0	0	0
ENSMUSG00000081557.2	0	0	0	0	0	0	0	0
ENSMUSG00000058590.2	0	0	0	0	0	0	0	0
ENSMUSG00000101235.1	0	0	0	0	0	0	0	0
ENSMUSG00000064433.1	0	0	0	0	0	0	0	0
ENSMUSG00000080625.1	0	0	0	0	0	0	0	0
ENSMUSG00000080391.1	0	0	0	0	0	0	0	0
ENSMUSG00000099257.1	0	0	0	0	0	0	0	0
ENSMUSG00000099492.1	72	76	83	58	134	34	128	167
ENSMUSG00000118548.1	0	0	0	0	0	0	0	0
ENSMUSG00000101726.1	0	0	0	0	0	0	0	0
ENSMUSG00000096829.1	0	0	0	0	0	0	0	0
ENSMUSG00000098883.1	0	0	0	0	0	0	0	0
ENSMUSG00000053185.2	0	0	0	0	0	0	0	0
ENSMUSG00000100261.1	1	0	5	1	6	2	4	4
ENSMUSG00000101180.1	0	0	0	0	0	0	0	0
ENSMUSG00000048874.15	164	4	375	172	16	99	110	232
ENSMUSG00000103783.1	0	0	0	0	0	41	37	26
ENSMUSG00000104315.1	0	0	0	0	3	17	7	56
ENSMUSG00000026064.16	0	0	0	12	18	0	0	0
ENSMUSG00000117310.2	0	0	6	4	0	0	0	7
ENSMUSG00000117091.1	0	0	0	0	0	0	0	0
ENSMUSG00000086726.3	0	0	0	0	0	0	0	0
ENSMUSG00000086727.8	0	0	0	0	0	0	0	0
ENSMUSG00000100237.1	0	0	0	0	0	0	0	0
ENSMUSG00000098529.1	0	0	0	0	0	0	0	0
ENSMUSG00000100910.1	0	0	0	0	0	0	0	0
ENSMUSG00000099796.1	0	0	0	0	0	0	0	0
ENSMUSG00000050217.13	0	0	0	0	0	0	0	0
ENSMUSG00000026063.4	0	0	0	0	0	0	0	0
ENSMUSG00000077664.1	0	0	0	0	0	0	0	0
ENSMUSG00000100205.1	0	0	0	0	0	0	0	0
ENSMUSG00000100592.1	0	0	0	0	0	0	0	0
ENSMUSG00000094215.2	0	0	0	0	0	0	0	0
ENSMUSG00000101093.1	0	0	0	0	0	0	0	0
ENSMUSG00000070960.4	0	0	1	5	1	1	3	4
ENSMUSG00000088620.1	0	0	0	0	0	0	0	0
ENSMUSG00000082159.2	0	0	0	0	0	0	0	0
ENSMUSG00000026058.11	0	0	0	0	0	0	0	0
ENSMUSG00000064688.1	0	0	0	0	0	0	0	0
ENSMUSG00000103482.1	0	0	0	0	0	0	0	0
ENSMUSG00000104498.1	0	0	0	0	0	0	0	0
ENSMUSG00000104313.1	0	0	0	0	0	0	0	0
ENSMUSG00000102865.1	0	0	0	0	0	0	0	0
ENSMUSG00000102321.1	0	0	0	0	0	0	0	0
ENSMUSG00000091318.2	0	0	0	0	0	0	0	0
ENSMUSG00000089489.1	0	0	0	0	0	0	0	0
ENSMUSG00000104433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089395.1	0	0	0	0	0	0	0	0
ENSMUSG00000102926.1	0	0	0	0	0	0	0	0
ENSMUSG00000100497.1	0	0	0	0	0	0	0	0
ENSMUSG00000102917.1	0	0	0	0	0	0	0	0
ENSMUSG00000100481.1	0	0	0	0	3	0	1	0
ENSMUSG00000100590.1	0	0	0	0	0	0	0	0
ENSMUSG00000088750.1	0	0	0	0	0	0	0	0
ENSMUSG00000104230.1	0	0	0	0	0	0	0	0
ENSMUSG00000101754.2	0	0	0	0	0	0	0	0
ENSMUSG00000065223.1	0	0	0	0	0	0	0	0
ENSMUSG00000100318.2	0	0	0	0	0	0	0	0
ENSMUSG00000101612.2	2	0	0	0	0	0	0	4
ENSMUSG00000065260.1	0	0	0	0	0	0	0	0
ENSMUSG00000026134.11	459	9	103	76	932	205	244	841
ENSMUSG00000101682.1	1	1	3	1	1	1	2	3
ENSMUSG00000102714.1	0	0	0	0	0	0	0	0
ENSMUSG00000102093.1	0	0	0	0	0	20	1	63
ENSMUSG00000103746.1	0	0	0	0	0	0	0	39
ENSMUSG00000102198.1	0	0	0	0	0	0	0	0
ENSMUSG00000004768.14	1	18	117	18	0	0	15	18
ENSMUSG00000042215.8	32	294	722	293	1420	21	1060	1494
ENSMUSG00000103072.1	0	0	0	0	0	15	0	0
ENSMUSG00000042197.13	138	2	151	40	340	109	431	79
ENSMUSG00000081402.4	9	17	4	9	1	1	5	27
ENSMUSG00000042182.16	0	0	0	0	0	0	0	0
ENSMUSG00000104416.1	0	0	0	0	0	0	0	0
ENSMUSG00000026131.20	180	248	285	280	574	110	341	429
ENSMUSG00000103596.1	0	0	0	0	0	0	0	0
ENSMUSG00000099382.1	0	0	0	0	0	0	0	0
ENSMUSG00000084506.1	0	0	0	0	0	0	0	0
ENSMUSG00000103364.1	0	0	88	3	64	3	1	6
ENSMUSG00000105982.1	0	0	0	0	0	0	0	0
ENSMUSG00000096992.3	0	1	0	0	33	1	0	35
ENSMUSG00000103001.1	0	0	0	0	0	3	1	0
ENSMUSG00000104397.1	0	0	0	0	0	0	0	0
ENSMUSG00000102839.1	0	0	0	0	0	0	0	0
ENSMUSG00000101206.1	0	0	0	0	0	0	0	0
ENSMUSG00000101462.2	0	0	0	0	0	0	0	0
ENSMUSG00000102336.1	0	3	1	39	0	0	0	6
