X1	deg_anno	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000006574	Slc4a1	118.742241272964	7.76866365629004	1.49736854233593	5.188210808924	2.1232416795179e-7	6.89322671751507e-5	up
ENSMUSG00000023909	Paqr4	85.5993264447866	6.97107592052185	1.3436780625497	5.18805517096401	2.12501653610851e-7	6.89322671751507e-5	up
ENSMUSG00000027300	Ubox5	46.1226023722016	7.41435118506044	1.45530264103462	5.09471430615238	3.49267547213326e-7	1.10464593494895e-4	up
ENSMUSG00000029634	Rnf6	327.816773018283	-2.42596111208931	0.477514289519167	-5.08039479725755	3.76651275966398e-7	1.16219885176851e-4	down
ENSMUSG00000017718	Afmid	34.2936061824306	-8.89438166515354	1.76249574172806	-5.04646987483381	4.50047814595317e-7	1.34429734196231e-4	down
ENSMUSG00000079737	Bfar	23.5805839583559	6.45460793191023	1.27976895197192	5.04357284333605	4.56918707646662e-7	1.34429734196231e-4	up
ENSMUSG00000041135	Ripk2	44.2825303706734	5.81181235527534	1.16112126306268	5.00534486806792	5.57621059600401e-7	1.58905033824357e-4	up
ENSMUSG00000016756	Cmah	61.1357403738719	-9.72870412180609	1.94467761495993	-5.00273363922408	5.65230141656475e-7	1.58905033824357e-4	down
ENSMUSG00000026274	Pask	30.7668103716293	4.828768263276	0.981682986758887	4.9188672192625	8.70464897697069e-7	2.37994486511748e-4	up
ENSMUSG00000044937	Ttc41	39.8374293842858	-9.11143922720669	1.85349846628729	-4.91580618648024	8.84178394281256e-7	2.37994486511748e-4	down
ENSMUSG00000031431	Tsc22d3	2935.20282725262	-1.37022617396706	0.278990750853643	-4.91136774167065	9.04432830094297e-7	2.38374577781728e-4	down
ENSMUSG00000062585	Cnr2	35.4193166557327	5.6299153858108	1.16776600751533	4.82109887561261	1.42769565921852e-6	3.68607709893337e-4	up
ENSMUSG00000087075	Lbhd2	42.8442466877633	-8.49238113059412	1.77364306391929	-4.78810043765411	1.68367384243932e-6	4.26003155613996e-4	down
ENSMUSG00000009621	Vav2	61.2270224387436	7.47760106178826	1.56520846541642	4.77738347766912	1.7759089744928e-6	4.40529890908008e-4	up
ENSMUSG00000019102	Aldh3a1	144.918006430223	-8.19976141773502	1.72148482258776	-4.76319123476734	1.90555094670499e-6	4.63598558207016e-4	down
ENSMUSG00000023216	Epb42	56.7128763192223	7.23029982384992	1.52507002234632	4.74096252493777	2.12705277547796e-6	5.07723484199465e-4	up
ENSMUSG00000050530	Fam171a1	51.1702143438688	7.54530566136175	1.59927093947398	4.71796584001177	2.38214479484881e-6	5.5808358888208e-4	up
ENSMUSG00000073940	Hbb-bt	1121.33655096079	5.3026110974502	1.12670813905937	4.70628631641651	2.52270147455194e-6	5.80267206446483e-4	up
ENSMUSG00000030760	Acer3	115.390337975009	2.17232840742304	0.462634216774032	4.69556364112187	2.65872571886553e-6	6.00634626238711e-4	up
ENSMUSG00000070822	Zscan18	34.0710089892246	-8.1617936657316	1.74671775745406	-4.67264595605181	2.97344070656151e-6	6.59947339977362e-4	down
ENSMUSG00000020832	Eral1	105.892197083047	4.06872932581712	0.87486635205665	4.65068672060857	3.30831558520812e-6	7.2161207704255e-4	up
ENSMUSG00000040006	Ginm1	121.284588551271	-2.16948731347757	0.467408819671777	-4.64151984765931	3.45855793249088e-6	7.4159688820241e-4	down
ENSMUSG00000000901	Mmp11	40.2355099975275	6.25604433560807	1.35020984999068	4.63338668107867	3.59731707940312e-6	7.46059973303752e-4	up
ENSMUSG00000031398	Plxna3	83.2000059096832	-5.60972971065349	1.21026907537817	-4.63510951802238	3.56748553616689e-6	7.46059973303752e-4	down
