	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000112137	0.642198761256268	2.78456977064658	3.43315615557315	0.8110815950292	0.41731881454783	NA	NA
ENSMUSG00000112706	0.0875687910819902	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703099	NA	NA
ENSMUSG00000020213	1.369118731589	-0.930611723927828	3.34482071558504	-0.278224695150829	0.780839878974178	NA	none
ENSMUSG00000090162	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000112301	3.04719874155874	4.97724130218534	3.39445380378893	1.46628635706566	0.142570290647461	NA	NA
ENSMUSG00000020140	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000111937	1.13034595437166	-0.427296752178378	2.03781756798776	-0.209683515782186	0.833914692030312	NA	none
ENSMUSG00000069516	1475.78674790829	-0.24267842594396	0.761293851927565	-0.318771030830616	NA	NA	none
ENSMUSG00000069515	0.277744981970219	-1.98537567860706	3.51694506415203	-0.564517114254598	0.572402256218067	NA	NA
ENSMUSG00000043800	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000020183	13.4104216526206	6.39160725012213	3.22886068777879	1.9795240080547	NA	NA	NA
ENSMUSG00000112216	0.584136902224056	1.52737499994405	3.45487736577721	0.442092392359187	0.658422349294803	NA	NA
ENSMUSG00000112135	0.672034594550613	-0.320552649049346	2.73679503458871	-0.117127020839366	0.906759397571099	NA	none
ENSMUSG00000112614	1.99162886753553	0.874120906050533	1.82866923565508	0.478009302615843	0.632643583948322	NA	none
ENSMUSG00000112252	2.44410159150586	-1.78768688014964	2.21911131385153	-0.805586844152892	0.420481113743029	NA	NA
ENSMUSG00000112683	0.55781585857714	1.21690768066496	3.46796450709732	0.350899692939336	0.725663601855384	NA	NA
ENSMUSG00000112894	1.5145487854255	3.99841739689963	3.40510663118647	1.17424146435803	0.240298322011707	NA	NA
ENSMUSG00000076448	3.22199156789565	-1.85575622558041	2.85335285203569	-0.650377405744418	0.515448468269107	NA	NA
ENSMUSG00000087480	0.168812033618695	1.08326518949555	3.50750213096817	0.308842346788977	0.75744145466416	NA	NA
